ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
IRQ,18821066.83,10406035.08,24627948.67,549451.853,34.2542603637375,18.938938913725,44.8227602391943
ISL,6651.32,4731,10322.71,3896.714,1.70690484341422,1.21409988005278,2.64908073828359
ISR,963660.35,844688.019999999,1097565.78,384095.285,2.50890960559435,2.19916268953939,2.85753515563202
ITA,5206385.07,4130588.48,6133428.53,1821270.145,2.85865613308014,2.26797133381879,3.36766544317345
JAM,110494.4,53940.28,164854.77,12039.147,9.17792597764609,4.48040712518918,13.6932267709664
JOR,3576128.17,2688875.13,4560303.56,288768.356,12.3840722007643,9.31152972315291,15.7922551597032
JPN,1595623.47,1103775.52,2164690.81,206341.01,7.73294397463694,5.34927845899368,10.4908413989056
KAZ,1723184.74,1090603.42,2565746.77,177998.005,9.68092164853195,6.12705417681507,14.4144692520571
KEN,20391533.91,14550929.31,25586243.23,90251.288,225.941749551541,161.226832685202,283.500034149097
KGZ,2006798.69,572239.75,3979273.2,75815.715,26.4694290622993,7.54777225275789,52.4861263921338
KHM,38068.6,26111.54,48813.01,228.581,166.543151005552,114.233203984583,213.547976428487
KOR,225887.03,186063.04,281313.03,46074.424,4.90265553835247,4.03831505305416,6.10562228623846
KWT,688673.74,239215.97,1058157.46,105684.141,6.51633947613767,2.26349921318848,10.0124526725349
LBN,894793.68,791719.29,1020403.37,172031.285,5.20134276739257,4.60218203915643,5.93149885499024
LBR,542821.08,179835.23,2460022.3,1099.578,493.663096205999,163.549316192212,2237.24219655177
LBY,2365310.53,1472946.81,3343333.41,98138.001,24.101882103753,15.0089343067014,34.0676738463422
LKA,344027.38,242905.71,462654.48,39527.861,8.70341504186123,6.14517719539643,11.7045159615391
LSO,455316.46,271416.55,701305.46,2880.14,158.08830820724,94.2372766601623,243.49700361788
LTU,709757.24,493459.78,862274.44,132394,5.36094717283261,3.72720651993293,6.51294197622249
LUX,74139.06,56480.97,86551.01,42939.405,1.72659728284544,1.31536452356524,2.01565461840936
LVA,283828.89,219740.05,347766.18,36318.574,7.81497891409503,6.05034905830829,9.57543597389038
MAR,14269730.91,5246025.73,20586035.8,421849.572,33.8265861983617,12.4357735036413,48.7994706321522
MDA,1086493.39,893227.54,1285744.91,126346.864,8.59929052136981,7.06964551173981,10.1763104306253
MDG,7338711.25,6432114.65,8275032.61,15694.718,467.591150729819,409.826710489478,527.249524967572
MDV,33196.97,12079.72,67533.51,11363.287,2.92142317623413,1.06304804234901,5.94313159563778
MEX,36874148.2,32686007.4,40489958.9,1182756,31.1764626009084,27.6354610756572,34.2335688003274
MKD,1008555.59,738476.34,1255794.79,76134.72,13.2469862632975,9.69960012987505,16.4943772039879
MLI,5794388.03,4139744.62,7687079.86,4655.138,1244.7295934084,889.285048047985,1651.31084406091
MLT,29211.28,22692.6,36707.01,11863.58,2.46226518470816,1.91279529450638,3.09409217116587
MMR,4260025.28,2404253.31,5778765.8,122242.43,34.8489904855458,19.6679116244662,47.2729951457935
MNE,172406.49,136777.83,218745.88,46589.577,3.70053778337588,2.93580321624298,4.69516776252336
MNG,47915.62,29503.92,64907.35,904.145,52.9955040397282,32.631845555746,71.7886511566175
MOZ,1708809.38,764898.14,2770833.76,17501.14,97.6398897443252,43.7056180340252,158.323044098842
MRT,1391586.96,468508.73,2396181.95,9829.283,141.575632729264,47.6645885564593,243.77993288015
MWI,2453897.01,1924494.07,3050563.35,5341.287,459.420549766376,360.305310311915,571.128896462594
MYS,719109.23,447300.54,1032735.28,98433.281,7.30554973576468,4.54420024869434,10.4917287070823
NAM,460744.43,270918.05,720961.04,22282.287,20.6776095290398,12.1584489958324,32.3557918448856
NER,4134837.92,2184468.38,5885315.14,2095.309,1973.37858998363,1042.55190045955,2808.80535520059
NGA,38365587.38,31381684.69,46933975.26,61126.85,627.638875224226,513.38625644868,767.812757568891
NLD,1413765.53,1243138.81,1580617.66,730432.867,1.93551740874771,1.70192069136451,2.16394651912617
NOR,80730.2,68284.27,96224.07,38939.287,2.07323261979604,1.75360863695321,2.47113076312877
NPL,7588880.68,5800839.15,8852601.88,246654.71,30.7672238652974,23.5180554630398,35.8906662678365
NZL,2565.51,2082.84,3131.67,624.43,4.10856300946463,3.33558605448168,5.01524590426469
OMN,662131.06,570151.76,764396.05,91589.862,7.22930513859711,6.22505316145143,8.34585873707289
OWID_WRL,1094972099.76,1005317607.55,1184851858.67,71002847.286,15.4215238066361,14.1588351168591,16.6873851396044
PAK,42503654.37,31309861.05,55738319.3,272638.85,155.897277185551,114.840056910451,204.440120327679
PAN,1135882.76,860860.27,1418973.45,204658.283,5.55014311343558,4.20632997297256,6.93337904139458
PER,8447924.26,7252513.56,10069558.66,732661.568,11.5304591218848,9.89885900498059,13.7438062808284
PHL,12438194.89,7234993.85,15167850.03,435945.289,28.5315501826652,16.5961051364865,34.793012822304
PNG,239023.38,142450.45,364612.43,804.503,297.106884623177,177.066400000995,453.214506347397
POL,9224174.05,7936601.01,10542262.94,1233038.286,7.48084966600948,6.43662171735679,8.54982611626708
PRT,1050887.08,661286.72,1298029.65,358210.721,2.93371197005575,1.84608299314414,3.62364824362697
PRY,956585.26,761306.06,1144407.93,103654.715,9.22857450334025,7.34463511862437,11.0405776524493
PSE,1804536.42,1107760.41,2362015.54,132488.433,13.6203318217221,8.36118584027634,17.8280887358672
QAT,470469.86,199793.48,629703.3,49733.429,9.45983153504256,4.01728744663876,12.6615701483202
ROU,4914407.1,4071494.29,5885595.28,594563.569,8.26557050622117,6.8478704419241,9.89901767762027
RUS,50301085.2,40862497.12,58678684.87,2419623.434,20.788807255369,16.8879572522771,24.251164063573
RWA,810712.98,317153.88,1717804.42,7138.57,113.567980702017,44.4282090110484,240.637049156904
SAU,3406987.71,2111502.21,5347846.41,183659.866,18.5505292157841,11.4968079634774,29.1182092553634
SDN,7239933.98,2771364.6,19318597.79,15755.71,459.511756690114,175.895887903497,1226.13311554985
SEN,3322654.33,2081100.95,6401466.86,12266.856,270.864378778067,169.652350202856,521.850656761602
SGP,87174.06,59651,132342.16,15314.852,5.69212552625386,3.89497724169976,8.64142598309145
SLE,1183312.59,633069.37,2268633.8,1161.43,1018.84107522623,545.077507899744,1953.310832336
SLV,929847.46,527589.8,1189842.63,39960.379,23.2692352592552,13.2028227259807,29.7755591857625
